prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage
17,0069,遠軽,a,網走・北見・紋別地方,16.0,1.6,8.0,10,1.0
35,1039,尾花沢,a,山形県,15.0,1.5,5.0,10,1.0
51,1555,セントレア,a,愛知県,15.0,1.5,5.0,10,1.0
55,0553,上市,a,富山県,15.0,1.5,3.0,10,1.0
31,47575,青森,s,青森県,15.0,1.5,9.0,10,1.0
12,47407,旭川,s,上川地方,15.0,1.5,10.0,10,1.0
31,0169,三沢,a,青森県,15.0,1.5,7.0,10,1.0
34,1464,名取,a,宮城県,15.0,1.5,3.0,10,1.0
33,0209,久慈,a,岩手県,15.0,1.5,6.0,10,1.0
36,0294,船引,a,福島県,14.0,1.4,9.0,10,1.0
32,0185,鹿角,a,秋田県,14.0,1.4,5.0,10,1.0
17,0066,滝上,a,網走・北見・紋別地方,14.0,1.4,6.0,10,1.0
17,0072,生田原,a,網走・北見・紋別地方,14.0,1.4,4.0,10,1.0
88,1296,喜界島,a,鹿児島県,14.0,1.4,8.0,10,1.0
32,0202,湯沢,a,秋田県,14.0,1.4,8.0,10,1.0
33,1123,普代,a,岩手県,14.0,1.4,6.0,10,1.0
36,1293,茂庭,a,福島県,14.0,1.4,7.0,10,1.0
35,0260,差首鍋,a,山形県,14.0,1.4,4.0,10,1.0
84,47800,厳原,s,長崎県,14.0,1.4,5.0,10,1.0
12,1184,東川,a,上川地方,14.0,1.4,9.0,10,1.0
88,47909,名瀬,s,鹿児島県,14.0,1.4,13.0,10,1.0
84,1479,上大津,a,長崎県,14.0,1.4,14.0,10,1.0
13,1217,達布,a,留萌地方,14.0,1.4,10.0,10,1.0
88,1136,田代,a,鹿児島県,14.0,1.4,11.0,10,1.0
32,0200,矢島,a,秋田県,13.0,1.3,5.0,10,1.0
48,1022,南木曽,a,長野県,13.0,1.3,6.0,10,1.0
34,0242,気仙沼,a,宮城県,13.0,1.3,7.0,10,1.0
48,1300,立科,a,長野県,13.0,1.3,3.0,10,1.0
33,0206,軽米,a,岩手県,13.0,1.3,6.0,10,1.0
45,47672,館山,s,千葉県,13.0,1.3,6.0,10,1.0
88,47831,枕崎,s,鹿児島県,13.0,1.3,8.0,10,1.0
34,47592,石巻,s,宮城県,13.0,1.3,6.0,10,1.0
44,0365,小河内,a,東京都,13.0,1.3,4.0,10,1.0
20,1204,駒場,a,十勝地方,13.0,1.3,4.0,10,1.0
34,1626,女川,a,宮城県,13.0,1.3,6.0,10,1.0
86,0833,南小国,a,熊本県,12.0,1.2,3.0,10,1.0
31,0175,碇ケ関,a,青森県,12.0,1.2,6.0,10,1.0
31,47581,八戸,s,青森県,12.0,1.2,8.0,10,1.0
56,1544,三井,a,石川県,12.0,1.2,3.0,10,1.0
42,1019,みなかみ,a,群馬県,12.0,1.2,6.0,10,1.0
40,1011,日立,a,茨城県,12.0,1.2,4.0,10,1.0
20,0118,浦幌,a,十勝地方,12.0,1.2,4.0,10,1.0
91,1354,波照間,a,沖縄県,12.0,1.2,5.0,10,1.0
81,0779,安下庄,a,山口県,12.0,1.2,8.0,10,1.0
71,1252,京上,a,徳島県,12.0,1.2,7.0,10,1.0
20,1211,更別,a,十勝地方,11.0,1.1,3.0,10,1.0
17,0075,小清水,a,網走・北見・紋別地方,11.0,1.1,6.0,10,1.0
36,1044,金山,a,福島県,11.0,1.1,9.0,10,1.0
36,47597,白河,s,福島県,11.0,1.1,3.0,10,1.0
74,0756,須崎,a,高知県,11.0,1.1,5.0,10,1.0
52,1308,河合,a,岐阜県,11.0,1.1,3.0,10,1.0
91,47936,那覇,s,沖縄県,10.0,1.0,8.0,10,1.0
84,1670,脇岬,a,長崎県,10.0,2.0,4.0,5,0.5
17,0076,斜里,a,網走・北見・紋別地方,10.0,1.0,5.0,10,1.0
36,47598,小名浜,s,福島県,10.0,1.0,5.0,10,1.0
54,0540,能生,a,新潟県,10.0,1.0,3.0,10,1.0
83,0796,武蔵,a,大分県,10.0,1.0,3.0,10,1.0
33,1628,新町,a,岩手県,10.0,1.6666666666666667,5.0,6,0.6
36,0301,南郷,a,福島県,10.0,1.0,8.0,10,1.0
17,0068,常呂,a,網走・北見・紋別地方,9.0,0.9,3.0,10,1.0
15,47413,岩見沢,s,空知地方,9.0,0.9,4.0,10,1.0
68,1321,弥栄,a,島根県,9.0,0.9,2.0,10,1.0
12,1191,江丹別,a,上川地方,9.0,0.9,9.0,10,1.0
33,1219,山形,a,岩手県,9.0,0.9,5.0,10,1.0
40,1661,常総,a,茨城県,9.0,3.0,5.0,3,0.3
74,0755,安芸,a,高知県,9.0,0.9,3.0,10,1.0
86,1660,南阿蘇,a,熊本県,9.0,0.9,4.0,10,1.0
32,0194,田沢湖,a,秋田県,9.0,0.9,3.0,10,1.0
68,1307,海士,a,島根県,9.0,0.9,2.0,10,1.0
74,1476,南国日章,a,高知県,9.0,0.9,3.0,10,1.0
33,1032,好摩,a,岩手県,9.0,0.9,4.0,10,1.0
36,1633,新地,a,福島県,8.0,1.3333333333333333,5.0,6,0.6
14,47412,札幌,s,石狩地方,8.0,0.8,3.0,10,1.0
20,0113,新得,a,十勝地方,8.0,0.8,3.0,10,1.0
34,1630,桃生,a,宮城県,8.0,1.3333333333333333,3.0,6,0.6
46,0392,三浦,a,神奈川県,8.0,0.8,3.0,10,1.0
91,1534,北原,a,沖縄県,8.0,0.8,5.0,10,1.0
12,1047,朝日,a,上川地方,8.0,0.8,5.0,10,1.0
14,0031,山口,a,石狩地方,8.0,0.8,3.0,10,1.0
88,1542,天城,a,鹿児島県,8.0,0.8,6.0,10,1.0
12,1048,比布,a,上川地方,8.0,0.8,5.0,10,1.0
15,0999,月形,a,空知地方,8.0,0.8,5.0,10,1.0
91,1482,安次嶺,a,沖縄県,8.0,0.8,8.0,10,1.0
41,1334,塩谷,a,栃木県,8.0,0.8,5.0,10,1.0
20,1510,帯広泉,a,十勝地方,7.0,0.7,3.0,10,1.0
33,1212,小本,a,岩手県,7.0,0.7,4.0,10,1.0
91,47917,西表島,s,沖縄県,7.0,0.7,6.0,10,1.0
15,0043,芦別,a,空知地方,7.0,0.7,5.0,10,1.0
41,0329,黒磯,a,栃木県,7.0,0.7,2.0,10,1.0
31,0172,十和田,a,青森県,7.0,0.7,3.0,10,1.0
48,0424,飯島,a,長野県,7.0,0.7,4.0,10,1.0
50,1338,井川,a,静岡県,7.0,0.7,5.0,10,1.0
33,0221,雫石,a,岩手県,7.0,0.7,4.0,10,1.0
88,1146,輝北,a,鹿児島県,7.0,0.7,4.0,10,1.0
34,0251,新川,a,宮城県,7.0,0.7,5.0,10,1.0
91,1491,仲筋,a,沖縄県,7.0,0.7,7.0,10,1.0
52,1306,白川,a,岐阜県,6.0,0.6,2.0,10,1.0
14,0030,新篠津,a,石狩地方,6.0,0.6,2.0,10,1.0
17,47409,網走,s,網走・北見・紋別地方,6.0,0.6,1.0,10,1.0
31,0167,黒石,a,青森県,6.0,0.6,4.0,10,1.0
15,1287,空知吉野,a,空知地方,6.0,0.6,6.0,10,1.0
87,1348,鞍岡,a,宮崎県,6.0,0.6,2.0,10,1.0
12,1055,和寒,a,上川地方,6.0,0.6,4.0,10,1.0
84,47843,福江,s,長崎県,6.0,0.6,2.0,10,1.0
63,0624,家島,a,兵庫県,6.0,0.6,4.0,10,1.0
65,1589,南紀白浜,a,和歌山県,6.0,0.6,2.0,10,1.0
12,1053,幌加内,a,上川地方,6.0,0.6,6.0,10,1.0
74,1351,本川,a,高知県,6.0,0.6,3.0,10,1.0
15,0047,長沼,a,空知地方,6.0,0.6,2.0,10,1.0
17,0077,留辺蘂,a,網走・北見・紋別地方,6.0,0.6,3.0,10,1.0
20,0114,鹿追,a,十勝地方,6.0,0.6,2.0,10,1.0
91,1147,伊是名,a,沖縄県,6.0,0.6,3.0,10,1.0
15,0038,石狩沼田,a,空知地方,6.0,0.6,4.0,10,1.0
54,1514,秋津,a,新潟県,6.0,1.2,3.0,5,0.5
32,0186,湯瀬,a,秋田県,6.0,0.6,3.0,10,1.0
15,0041,滝川,a,空知地方,5.0,0.5,3.0,10,1.0
91,1251,大原,a,沖縄県,5.0,0.5,4.0,10,1.0
12,1280,麓郷,a,上川地方,5.0,0.5,3.0,10,1.0
35,1291,飛島,a,山形県,5.0,0.5,4.0,10,1.0
33,0207,二戸,a,岩手県,5.0,0.5,2.0,10,1.0
83,0799,湯布院,a,大分県,5.0,0.5,3.0,10,1.0
91,47929,久米島,s,沖縄県,5.0,0.5,4.0,10,1.0
51,0982,稲武,a,愛知県,5.0,0.5,2.0,10,1.0
91,47918,石垣島,s,沖縄県,5.0,0.5,4.0,10,1.0
91,1483,鏡原,a,沖縄県,5.0,0.5,3.0,10,1.0
19,0095,中徹別,a,釧路地方,5.0,0.5,2.0,10,1.0
20,0101,陸別,a,十勝地方,5.0,0.5,2.0,10,1.0
22,0137,新和,a,日高地方,5.0,0.5,3.0,10,1.0
81,0769,秋吉台,a,山口県,5.0,0.5,2.0,10,1.0
48,0399,大町,a,長野県,5.0,0.5,3.0,10,1.0
34,0257,亘理,a,宮城県,4.0,0.4,1.0,10,1.0
12,0011,士別,a,上川地方,4.0,0.4,4.0,10,1.0
40,0315,北茨城,a,茨城県,4.0,0.4,2.0,10,1.0
32,1036,男鹿,a,秋田県,4.0,0.4,2.0,10,1.0
48,1666,木祖薮原,a,長野県,4.0,0.5714285714285714,2.0,7,0.7
11,1051,中頓別,a,宗谷地方,4.0,0.4,3.0,10,1.0
19,0090,川湯,a,釧路地方,4.0,0.4,2.0,10,1.0
66,1330,千屋,a,岡山県,4.0,0.4,3.0,10,1.0
18,0088,別海,a,根室地方,4.0,0.4,2.0,10,1.0
33,0214,岩手松尾,a,岩手県,4.0,0.4,2.0,10,1.0
48,0413,木曽平沢,a,長野県,4.0,1.0,3.0,4,0.4
17,47435,紋別,s,網走・北見・紋別地方,4.0,0.4,3.0,10,1.0
88,1520,笠利,a,鹿児島県,4.0,0.4,3.0,10,1.0
84,1441,野母崎,a,長崎県,4.0,0.6666666666666666,2.0,6,0.6
84,0817,大瀬戸,a,長崎県,4.0,0.6666666666666666,2.0,6,0.6
91,1490,下地島,a,沖縄県,4.0,0.4,3.0,10,1.0
20,0107,上士幌,a,十勝地方,4.0,0.4,1.0,10,1.0
50,0441,御殿場,a,静岡県,4.0,0.4,1.0,10,1.0
52,1061,栃尾,a,岐阜県,4.0,0.4,3.0,10,1.0
31,1119,市浦,a,青森県,4.0,0.4,3.0,10,1.0
15,0044,美唄,a,空知地方,4.0,0.4,3.0,10,1.0
22,1202,日高,a,日高地方,4.0,0.4,2.0,10,1.0
12,0010,下川,a,上川地方,4.0,0.4,3.0,10,1.0
12,1458,東神楽,a,上川地方,3.0,0.3,3.0,10,1.0
12,0008,名寄,a,上川地方,3.0,0.3,2.0,10,1.0
12,0006,美深,a,上川地方,3.0,0.3,2.0,10,1.0
91,1639,盛山,a,沖縄県,3.0,0.3,2.0,10,1.0
12,1052,美瑛,a,上川地方,3.0,0.3,3.0,10,1.0
68,1320,赤名,a,島根県,3.0,0.3,2.0,10,1.0
12,1197,音威子府,a,上川地方,3.0,0.3,3.0,10,1.0
33,0205,種市,a,岩手県,3.0,0.3,2.0,10,1.0
13,1218,幌糠,a,留萌地方,3.0,0.3,3.0,10,1.0
31,0163,鰺ケ沢,a,青森県,3.0,0.3,2.0,10,1.0
88,0898,上中,a,鹿児島県,3.0,0.3,2.0,10,1.0
34,1631,東松島,a,宮城県,3.0,0.5,2.0,6,0.6
20,0121,大樹,a,十勝地方,3.0,0.3,2.0,10,1.0
18,1547,上標津,a,根室地方,3.0,0.3,1.0,10,1.0
18,1489,根室中標津,a,根室地方,3.0,0.3,1.0,10,1.0
20,1210,上札内,a,十勝地方,3.0,0.3,1.0,10,1.0
18,0086,中標津,a,根室地方,3.0,0.3,1.0,10,1.0
88,0881,溝辺,a,鹿児島県,3.0,0.3,3.0,10,1.0
54,1315,弾崎,a,新潟県,3.0,0.3,1.0,10,1.0
20,47440,広尾,s,十勝地方,3.0,0.3,1.0,10,1.0
67,1325,油木,a,広島県,3.0,0.3,3.0,10,1.0
67,1472,本郷,a,広島県,3.0,0.3,1.0,10,1.0
17,0065,湧別,a,網走・北見・紋別地方,3.0,0.3,2.0,10,1.0
49,47640,河口湖,s,山梨県,3.0,0.3,2.0,10,1.0
33,1629,陸前高田,a,岩手県,3.0,0.5,2.0,6,0.6
15,0039,深川,a,空知地方,3.0,0.3,3.0,10,1.0
14,1507,江別,a,石狩地方,3.0,0.3,2.0,10,1.0
14,1194,厚田,a,石狩地方,3.0,0.3,2.0,10,1.0
32,1043,八森,a,秋田県,3.0,0.3,2.0,10,1.0
41,1015,五十里,a,栃木県,2.0,0.2,1.0,10,1.0
31,1495,青森大谷,a,青森県,2.0,0.2,2.0,10,1.0
35,1292,大井沢,a,山形県,2.0,0.2,2.0,10,1.0
74,47898,清水,s,高知県,2.0,0.2,1.0,10,1.0
36,1634,古殿,a,福島県,2.0,0.3333333333333333,2.0,6,0.6
36,1466,玉川,a,福島県,2.0,0.2,1.0,10,1.0
44,1506,三宅坪田,a,東京都,2.0,0.2,2.0,10,1.0
11,0005,歌登,a,宗谷地方,2.0,0.2,1.0,10,1.0
91,1596,宮城島,a,沖縄県,2.0,0.2,1.0,10,1.0
19,0093,標茶,a,釧路地方,2.0,0.2,1.0,10,1.0
17,1073,西興部,a,網走・北見・紋別地方,2.0,0.2,1.0,10,1.0
12,1201,中川,a,上川地方,2.0,0.2,2.0,10,1.0
88,0899,尾之間,a,鹿児島県,2.0,0.2,2.0,10,1.0
88,0935,牧之原,a,鹿児島県,2.0,0.2,1.0,10,1.0
68,47740,西郷,s,島根県,2.0,0.2,1.0,10,1.0
88,0980,古仁屋,a,鹿児島県,2.0,0.2,2.0,10,1.0
18,0085,標津,a,根室地方,2.0,0.2,2.0,10,1.0
17,47405,雄武,s,網走・北見・紋別地方,2.0,0.2,1.0,10,1.0
88,1139,伊仙,a,鹿児島県,2.0,0.2,2.0,10,1.0
19,1187,弟子屈,a,釧路地方,2.0,0.2,1.0,10,1.0
14,1085,石狩,a,石狩地方,2.0,0.2,2.0,10,1.0
91,1517,北大東,a,沖縄県,2.0,0.2,2.0,10,1.0
91,1494,志多阿原,a,沖縄県,2.0,0.4,1.0,5,0.5
88,47836,屋久島,s,鹿児島県,2.0,0.2,1.0,10,1.0
67,0947,高野,a,広島県,1.0,0.1,1.0,10,1.0
54,0543,津南,a,新潟県,1.0,0.1,1.0,10,1.0
63,0977,兎和野高原,a,兵庫県,1.0,0.1,1.0,10,1.0
54,0998,関山,a,新潟県,1.0,0.1,1.0,10,1.0
65,47778,潮岬,s,和歌山県,1.0,0.1,1.0,10,1.0
50,47655,御前崎,s,静岡県,1.0,0.1,1.0,10,1.0
17,0981,宇登呂,a,網走・北見・紋別地方,1.0,0.1,1.0,10,1.0
91,1145,伊原間,a,沖縄県,1.0,0.1,1.0,10,1.0
91,0909,糸数,a,沖縄県,1.0,0.1,1.0,10,1.0
88,47837,種子島,s,鹿児島県,1.0,0.1,1.0,10,1.0
15,1674,秩父別,a,空知地方,1.0,0.25,1.0,4,0.4
45,47648,銚子,s,千葉県,1.0,0.1,1.0,10,1.0
16,0051,美国,a,後志地方,1.0,0.1,1.0,10,1.0
16,0054,共和,a,後志地方,1.0,0.1,1.0,10,1.0
44,47678,八丈島,s,東京都,1.0,0.1,1.0,10,1.0
16,0055,蘭越,a,後志地方,1.0,0.1,1.0,10,1.0
44,47675,大島,s,東京都,1.0,0.1,1.0,10,1.0
33,0211,葛巻,a,岩手県,1.0,0.1,1.0,10,1.0
44,1468,八重見ヶ原,a,東京都,1.0,0.1,1.0,10,1.0
33,0231,遠野,a,岩手県,1.0,0.1,1.0,10,1.0
16,47411,小樽,s,後志地方,1.0,0.1,1.0,10,1.0
84,1478,石田,a,長崎県,1.0,0.1,1.0,10,1.0
88,1540,中之島,a,鹿児島県,1.0,0.1,1.0,10,1.0
84,1453,鰐浦,a,長崎県,1.0,0.1,1.0,10,1.0
41,1333,今市,a,栃木県,1.0,0.14285714285714285,1.0,7,0.7
84,1144,芦辺,a,長崎県,1.0,0.1,1.0,10,1.0
33,1120,荒屋,a,岩手県,1.0,0.1,1.0,10,1.0
17,1487,紋別小向,a,網走・北見・紋別地方,1.0,0.1,1.0,10,1.0
40,1635,高萩,a,茨城県,1.0,0.3333333333333333,1.0,3,0.3
19,0091,阿寒湖畔,a,釧路地方,1.0,0.1,1.0,10,1.0
19,1186,鶴居,a,釧路地方,1.0,0.1,1.0,10,1.0
36,0303,田島,a,福島県,1.0,0.1,1.0,10,1.0
19,1195,榊町,a,釧路地方,1.0,0.1,1.0,10,1.0
15,0049,夕張,a,空知地方,1.0,0.1,1.0,10,1.0
87,0868,青島,a,宮崎県,1.0,0.5,1.0,2,0.2
12,1188,幾寅,a,上川地方,1.0,0.1,1.0,10,1.0
48,47620,諏訪,s,長野県,1.0,0.1,1.0,10,1.0
23,47430,函館,s,渡島地方,1.0,0.1,1.0,10,1.0
91,47940,名護,s,沖縄県,1.0,0.1,1.0,10,1.0
91,47912,与那国島,s,沖縄県,1.0,0.1,1.0,10,1.0
68,1473,西郷岬,a,島根県,1.0,0.1,1.0,10,1.0
12,0015,上川,a,上川地方,1.0,0.1,1.0,10,1.0
24,1200,鶉,a,檜山地方,1.0,0.1,1.0,10,1.0
69,1304,茶屋,a,鳥取県,1.0,0.1,1.0,10,1.0
12,1185,志比内,a,上川地方,1.0,0.1,1.0,10,1.0
31,47576,むつ,s,青森県,1.0,0.1,1.0,10,1.0
91,1515,粟国,a,沖縄県,1.0,0.2,1.0,5,0.5
91,1493,所野,a,沖縄県,1.0,0.1,1.0,10,1.0
20,1214,大津,a,十勝地方,1.0,0.1,1.0,10,1.0
31,0162,野辺地,a,青森県,1.0,0.1,1.0,10,1.0
86,0840,高森,a,熊本県,1.0,0.1,1.0,10,1.0
13,47406,留萌,s,留萌地方,1.0,0.1,1.0,10,1.0
31,47574,深浦,s,青森県,1.0,0.1,1.0,10,1.0
67,0671,道後山,a,広島県,0.0,,,0,0.0
87,1608,都農,a,宮崎県,0.0,,,0,0.0
88,0877,紫尾山,a,鹿児島県,0.0,,,0,0.0
66,1585,吉備中央,a,岡山県,0.0,,,0,0.0
87,1636,椎葉,a,宮崎県,0.0,,,0,0.0
87,1609,日之影,a,宮崎県,0.0,,,0,0.0
66,1584,富,a,岡山県,0.0,,,0,0.0
86,1580,宇土,a,熊本県,0.0,,,0,0.0
66,1371,恩原,a,岡山県,0.0,,,0,0.0
88,0882,八重山,a,鹿児島県,0.0,,,0,0.0
87,1164,酒谷,a,宮崎県,0.0,,,0,0.0
86,1581,一勝地,a,熊本県,0.0,,,0,0.0
87,1343,諸塚,a,宮崎県,0.0,,,0,0.0
87,1432,北方,a,宮崎県,0.0,,,0,0.0
86,1613,山都,a,熊本県,0.0,,,0,0.0
87,0865,国富,a,宮崎県,0.0,,,0,0.0
87,0864,野尻,a,宮崎県,0.0,,,0,0.0
87,0862,えびの高原,a,宮崎県,0.0,,,0,0.0
86,47821,阿蘇山,s,熊本県,0.0,0.0,0.0,2,0.2
66,1618,旭西,a,岡山県,0.0,,,0,0.0
68,0703,三隅,a,島根県,0.0,,,0,0.0
88,0888,吉ケ別府,a,鹿児島県,0.0,,,0,0.0
91,1152,渡嘉敷,a,沖縄県,0.0,0.0,0.0,10,1.0
91,47945,南大東（南大東島）,s,沖縄県,0.0,0.0,0.0,10,1.0
91,47927,宮古島,s,沖縄県,0.0,0.0,0.0,10,1.0
91,1651,渡名喜,a,沖縄県,0.0,,,0,0.0
91,1586,国頭,a,沖縄県,0.0,,,0,0.0
91,1518,旧東,a,沖縄県,0.0,0.0,0.0,10,1.0
91,1516,慶良間,a,沖縄県,0.0,0.0,0.0,5,0.5
66,0660,赤磐,a,岡山県,0.0,,,0,0.0
66,0661,陣山,a,岡山県,0.0,,,0,0.0
91,1374,東,a,沖縄県,0.0,,,0,0.0
91,1373,本部,a,沖縄県,0.0,,,0,0.0
66,0665,佐屋,a,岡山県,0.0,,,0,0.0
91,1250,川平,a,沖縄県,0.0,,,0,0.0
66,0666,矢掛,a,岡山県,0.0,,,0,0.0
91,1248,城辺,a,沖縄県,0.0,,,0,0.0
91,0907,胡屋,a,沖縄県,0.0,,,0,0.0
88,0897,中種子,a,鹿児島県,0.0,0.0,0.0,10,1.0
91,0906,読谷,a,沖縄県,0.0,,,0,0.0
91,0901,奥,a,沖縄県,0.0,0.0,0.0,10,1.0
88,47942,沖永良部,s,鹿児島県,0.0,0.0,0.0,10,1.0
88,1658,平島,a,鹿児島県,0.0,,,0,0.0
88,1655,小宝島,a,鹿児島県,0.0,,,0,0.0
88,1654,諏訪之瀬島,a,鹿児島県,0.0,,,0,0.0
